season,match_id,p_model,market_prob,p_blend,bet,edge,odds,actual,profit
2024-25,ucl-2024-25-015,0.545016077170418,0.6501182033096927,0.5975671402400553,Under,0.052551063069637305,2.75,Over,-1
2024-25,ucl-2024-25-084,0.6564102564102564,0.5684754521963824,0.6124428543033194,Over,0.04396740210693695,1.67,Over,0.6699999999999999
2024-25,ucl-2024-25-084,0.6564102564102564,0.5684754521963824,0.6124428543033194,Over,0.04396740210693695,1.67,Over,0.6699999999999999
2024-25,ucl-2024-25-037,0.545016077170418,0.6563245823389022,0.6006703297546601,Under,0.05565425258424206,2.75,Over,-1
2024-25,ucl-2024-25-188,0.551111111111111,0.5628272251308901,0.5569691681210005,Under,0.005858057009889561,2.15,Over,-1
2024-25,ucl-2024-25-179,0.6198347107438017,0.586734693877551,0.6032847023106763,Over,0.016550008433125374,1.62,Over,0.6200000000000001
2024-25,ucl-2024-25-069,0.6564102564102564,0.6025316455696202,0.6294709509899383,Over,0.026939305420318083,1.57,Over,0.5700000000000001
2024-25,ucl-2024-25-158,0.6198347107438017,0.7291666666666667,0.6745006887052343,Under,0.054665977961432355,3.5,Over,-1
2024-25,ucl-2024-25-010,0.6198347107438017,0.6880733944954128,0.6539540526196073,Under,0.03411934187580562,3.0,Under,2.0
2024-25,ucl-2024-25-166,0.6564102564102564,0.5483028720626633,0.6023565642364599,Over,0.05405369217379663,1.73,Under,-1
2024-25,ucl-2024-25-166,0.6564102564102564,0.5483028720626633,0.6023565642364599,Over,0.05405369217379663,1.73,Under,-1
