season,date,match,side,model_p,price,close,ev,won,pnl,clv
2025/26,2025-12-29,Norwich v Watford,OVER,0.5816162631903445,1.8,1.91,0.04690927374262022,False,-1.0,-0.05759162303664911
2025/26,2025-12-29,Millwall v Bristol City,UNDER,0.583815890779537,1.8,1.71,0.05086860340316668,False,-1.0,0.05263157894736836
2025/26,2025-12-29,Coventry v Ipswich,OVER,0.5508904589441281,1.93,1.79,0.06321858576216721,False,-1.0,0.07821229050279332
2025/26,2025-12-29,Stoke v Sheffield United,UNDER,0.5773738509287591,1.8,1.79,0.0392729316717666,False,-1.0,0.005586592178770999
2025/26,2026-01-01,Ipswich v Oxford,OVER,0.6027466479793716,1.73,1.78,0.0427517010043128,True,0.73,-0.028089887640449507
2025/26,2026-01-01,Hull v Stoke,UNDER,0.5763272117502951,1.84,1.73,0.06044206962054299,True,0.8400000000000001,0.06358381502890187
2025/26,2026-01-01,Blackburn v Wrexham,UNDER,0.5848383237952799,1.8,1.61,0.05270898283150394,True,0.8,0.11801242236024834
2025/26,2026-01-01,Southampton v Millwall,OVER,0.5781137604451773,1.8,1.84,0.040604768801319135,False,-1.0,-0.021739130434782594
2025/26,2026-01-01,QPR v Norwich,OVER,0.5474072304804611,1.95,1.82,0.06744409943689922,True,0.95,0.0714285714285714
2025/26,2026-01-04,Derby v Wrexham,UNDER,0.6334613521385083,1.67,1.55,0.057880458071308816,False,-1.0,0.07741935483870965
2025/26,2026-01-04,Blackburn v Charlton,UNDER,0.6294733231220024,1.67,1.54,0.05122044961374406,False,-1.0,0.08441558441558428
2025/26,2026-01-04,Middlesbrough v Southampton,OVER,0.6327549762913711,1.73,1.69,0.09466610898407213,True,0.73,0.02366863905325456
2025/26,2026-01-04,Birmingham v Coventry,OVER,0.5656455251230753,1.83,1.76,0.035131310975227814,True,0.8300000000000001,0.03977272727272729
2025/26,2026-01-04,QPR v Sheffield Weds,OVER,0.5882582954542583,1.8,1.73,0.058864931817665056,True,0.8,0.040462427745664886
2025/26,2026-01-05,Leicester v West Brom,OVER,0.5049705186083286,2.07,2.04,0.045288973519240106,True,1.0699999999999998,0.014705882352941124
2025/26,2026-01-17,Charlton v Sheffield United,UNDER,0.5533523357186063,1.91,1.86,0.05690296122253802,True,0.9099999999999999,0.026881720430107503
2025/26,2026-01-17,Coventry v Leicester,OVER,0.6421677585789561,1.67,1.62,0.07242015682685676,True,0.6699999999999999,0.030864197530864113
2025/26,2026-01-17,Ipswich v Blackburn,OVER,0.5167223014867703,2.0,1.92,0.03344460297354068,True,1.0,0.04166666666666674
2025/26,2026-01-17,Southampton v Hull,OVER,0.6618575523211272,1.67,1.65,0.10530211237628229,True,0.6699999999999999,0.0121212121212122
2025/26,2026-01-17,Watford v Millwall,UNDER,0.5893425192457158,1.75,1.75,0.03134940868000258,True,0.75,0.0
2025/26,2026-01-17,Wrexham v Norwich,OVER,0.5902280240947407,1.91,1.84,0.12733552602095477,True,0.9099999999999999,0.0380434782608694
2025/26,2026-01-20,Wrexham v Leicester,OVER,0.6033477647784117,1.91,1.86,0.15239423072676628,False,-1.0,0.026881720430107503
2025/26,2026-01-20,Sheffield Weds v Birmingham,UNDER,0.5155890466905668,2.0,1.96,0.031178093381133642,True,1.0,0.020408163265306145
2025/26,2026-01-20,Ipswich v Bristol City,OVER,0.5368562120136345,2.02,1.93,0.08444954826754181,False,-1.0,0.04663212435233155
2025/26,2026-01-21,Southampton v Sheffield United,OVER,0.625593074034359,1.72,1.66,0.07602008733909749,False,-1.0,0.03614457831325302
2025/26,2026-01-23,Derby v West Brom,UNDER,0.6561540596201825,1.57,1.61,0.030161873603686606,True,0.5700000000000001,-0.024844720496894457
2025/26,2026-01-24,Millwall v Charlton,UNDER,0.6367458778982072,1.67,1.71,0.06336561609000602,False,-1.0,-0.023391812865497075
2025/26,2026-01-25,Portsmouth v Southampton,OVER,0.5667350288880567,1.95,1.81,0.10513330633171059,False,-1.0,0.07734806629834257
2025/26,2026-01-26,Norwich v Coventry,OVER,0.6385534922192715,1.79,1.63,0.14301075107249606,True,0.79,0.09815950920245409
2025/26,2026-01-31,Oxford v Birmingham,UNDER,0.5884282879049167,1.78,1.74,0.04740235247075186,True,0.78,0.02298850574712641
2025/26,2026-01-31,Millwall v Sheffield United,UNDER,0.5764145124679529,1.91,1.85,0.10095171881379006,True,0.9099999999999999,0.03243243243243232
2025/26,2026-01-31,Ipswich v Preston,OVER,0.571627032332552,1.83,1.78,0.04607746916857014,False,-1.0,0.028089887640449396
